campaign_position,attempt_id,substudy,scenario_id,task_family,N,task_id,center_mode,scale_mode,scale_label,time_mode,c_exec_x,c_exec_y,c_exec_z,r_exec,T_exec,center_source,c_semantics_ok,r_semantics_ok,T_semantics_ok,all_semantics_ok
20,E5V2-B-S3-N16-R2,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
20,E5V2-B-S3-N16-R2,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
21,E5V2-B-S3-N8-R2,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
21,E5V2-B-S3-N8-R2,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
22,E5V2-A3-REL-SPACIOUS-SPHERE-R2,E5-v2A,E5V2-A3-REL-SPACIOUS-SPHERE,,8,1,relative,qualitative,spacious,auto,0.006461906887125224,13.49896800694296,6.500590577721596,3.7205877811845802,4.938663292800342,snapshot.participant_centroid+world_offset,True,True,True,True
23,E5V2-B-S2-N12-R2,E5-v2B,E5V2-B-S2-N12,UNDER_SPECIFIED,12,1,maintain_current_centroid,qualitative,normal,auto,0.0027352874943365655,19.496931824522715,1.4989068309466045,4.346666218300812,6.2946331366354045,candidate.maintain_current_centroid,True,True,True,True
24,E5V2-B-S3-N12-R2,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
24,E5V2-B-S3-N12-R2,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
25,E5V2-B-S3-N8-R3,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
25,E5V2-B-S3-N8-R3,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
26,E5V2-A2-MAINTAIN-NORMAL-LINE-R3,E5-v2A,E5V2-A2-MAINTAIN-NORMAL-LINE,,8,1,maintain_current_centroid,qualitative,normal,auto,0.0074805598123930395,13.497717550973903,1.5005276948213577,2.25,6.398703184491289,candidate.maintain_current_centroid,True,True,True,True
27,E5V2-B-S3-N16-R3,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
27,E5V2-B-S3-N16-R3,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
28,E5V2-B-S1-N8-R3,E5-v2B,E5V2-B-S1-N8,SIMPLE,8,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
29,E5V2-B-S3-N12-R3,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
29,E5V2-B-S3-N12-R3,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
30,E5V2-B-S1-N16-R3,E5-v2B,E5V2-B-S1-N16,SIMPLE,16,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
31,E5V2-B-S2-N16-R3,E5-v2B,E5V2-B-S2-N16,UNDER_SPECIFIED,16,1,maintain_current_centroid,qualitative,normal,auto,0.010709866928664269,25.504478343267692,1.500666819512844,5.766559757418396,9.186973689858872,candidate.maintain_current_centroid,True,True,True,True
32,E5V2-B-S1-N12-R3,E5-v2B,E5V2-B-S1-N12,SIMPLE,12,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
33,E5V2-A3-REL-SPACIOUS-SPHERE-R3,E5-v2A,E5V2-A3-REL-SPACIOUS-SPHERE,,8,1,relative,qualitative,spacious,auto,0.0011646957427728921,13.49847196660994,6.503167912364006,3.7205877811845802,4.939093356478556,snapshot.participant_centroid+world_offset,True,True,True,True
34,E5V2-A1-REL-COMPACT-CIRCLE-R3,E5-v2A,E5V2-A1-REL-COMPACT-CIRCLE,,8,1,relative,qualitative,compact,auto,3.0052458709833445,13.500160882680575,2.504707485437393,2.3518133367774783,4.303856659796896,snapshot.participant_centroid+world_offset,True,True,True,True
35,E5V2-B-S2-N8-R3,E5-v2B,E5V2-B-S2-N8,UNDER_SPECIFIED,8,1,maintain_current_centroid,qualitative,normal,auto,0.0064871173817664385,13.499875679553952,1.50028857588768,2.9397666709718475,4.639406692349202,candidate.maintain_current_centroid,True,True,True,True
36,E5V2-B-S2-N12-R3,E5-v2B,E5V2-B-S2-N12,UNDER_SPECIFIED,12,1,maintain_current_centroid,qualitative,normal,auto,0.0059019535256084055,19.496859047057416,1.4991498788197835,4.346666218300812,6.292754646158082,candidate.maintain_current_centroid,True,True,True,True
37,E5V2-B-S2-N8-R4,E5-v2B,E5V2-B-S2-N8,UNDER_SPECIFIED,8,1,maintain_current_centroid,qualitative,normal,auto,0.005197125632548705,13.501558153260248,1.5057450234889984,2.9397666709718475,4.636792340983847,candidate.maintain_current_centroid,True,True,True,True
38,E5V2-B-S1-N16-R4,E5-v2B,E5V2-B-S1-N16,SIMPLE,16,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
39,E5V2-B-S1-N8-R4,E5-v2B,E5V2-B-S1-N8,SIMPLE,8,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
40,E5V2-B-S3-N16-R4,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
40,E5V2-B-S3-N16-R4,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
41,E5V2-B-S3-N12-R4,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
41,E5V2-B-S3-N12-R4,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
42,E5V2-B-S1-N12-R4,E5-v2B,E5V2-B-S1-N12,SIMPLE,12,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
43,E5V2-B-S2-N12-R4,E5-v2B,E5V2-B-S2-N12,UNDER_SPECIFIED,12,1,maintain_current_centroid,qualitative,normal,auto,0.00912009516711502,19.5023995613786,1.4998079737027485,4.346666218300812,6.299365708685796,candidate.maintain_current_centroid,True,True,True,True
44,E5V2-B-S2-N16-R4,E5-v2B,E5V2-B-S2-N16,UNDER_SPECIFIED,16,1,maintain_current_centroid,qualitative,normal,auto,0.00838497131189797,25.501325143428858,1.50275170058012,5.766559757418396,9.192609393046894,candidate.maintain_current_centroid,True,True,True,True
45,E5V2-A1-REL-COMPACT-CIRCLE-R4,E5-v2A,E5V2-A1-REL-COMPACT-CIRCLE,,8,1,relative,qualitative,compact,auto,3.0026675636909204,13.49390693044188,2.500816375017166,2.3518133367774783,4.304675573758754,snapshot.participant_centroid+world_offset,True,True,True,True
46,E5V2-A2-MAINTAIN-NORMAL-LINE-R4,E5-v2A,E5V2-A2-MAINTAIN-NORMAL-LINE,,8,1,maintain_current_centroid,qualitative,normal,auto,0.003404257251531817,13.498554691701429,1.4993890821933746,2.25,6.3947003197812595,candidate.maintain_current_centroid,True,True,True,True
47,E5V2-B-S3-N8-R4,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
47,E5V2-B-S3-N8-R4,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
48,E5V2-A3-REL-SPACIOUS-SPHERE-R4,E5-v2A,E5V2-A3-REL-SPACIOUS-SPHERE,,8,1,relative,qualitative,spacious,auto,0.0027829324826598167,13.496852621872677,6.498803362250328,3.7205877811845802,4.940257396904135,snapshot.participant_centroid+world_offset,True,True,True,True
49,E5V2-B-S1-N12-R5,E5-v2B,E5V2-B-S1-N12,SIMPLE,12,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
50,E5V2-B-S2-N8-R5,E5-v2B,E5V2-B-S2-N8,UNDER_SPECIFIED,8,1,maintain_current_centroid,qualitative,normal,auto,0.0020920540700899437,13.49506367513095,1.5005789697170258,2.9397666709718475,4.638457286319072,candidate.maintain_current_centroid,True,True,True,True
51,E5V2-B-S1-N8-R5,E5-v2B,E5V2-B-S1-N8,SIMPLE,8,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
52,E5V2-B-S3-N12-R5,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
52,E5V2-B-S3-N12-R5,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
53,E5V2-A1-REL-COMPACT-CIRCLE-R5,E5-v2A,E5V2-A1-REL-COMPACT-CIRCLE,,8,1,relative,qualitative,compact,auto,3.0090046245459234,13.497063664137386,2.5048319548368454,2.3518133367774783,4.305272574729708,snapshot.participant_centroid+world_offset,True,True,True,True
54,E5V2-B-S2-N12-R5,E5-v2B,E5V2-B-S2-N12,UNDER_SPECIFIED,12,1,maintain_current_centroid,qualitative,normal,auto,0.002876668731914833,19.49948979729864,1.4997389912605286,4.346666218300812,6.295381524111404,candidate.maintain_current_centroid,True,True,True,True
55,E5V2-A3-REL-SPACIOUS-SPHERE-R5,E5-v2A,E5V2-A3-REL-SPACIOUS-SPHERE,,8,1,relative,qualitative,spacious,auto,0.004591561923007248,13.498224283202944,6.498094916343689,3.7205877811845802,4.940429646729309,snapshot.participant_centroid+world_offset,True,True,True,True
56,E5V2-B-S2-N16-R5,E5-v2B,E5V2-B-S2-N16,UNDER_SPECIFIED,16,1,maintain_current_centroid,qualitative,normal,auto,0.005874210732145002,25.501406184055668,1.4962238296866417,5.766559757418396,9.201212276255356,candidate.maintain_current_centroid,True,True,True,True
57,E5V2-B-S1-N16-R5,E5-v2B,E5V2-B-S1-N16,SIMPLE,16,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
58,E5V2-B-S3-N16-R5,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
58,E5V2-B-S3-N16-R5,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
59,E5V2-A2-MAINTAIN-NORMAL-LINE-R5,E5-v2A,E5V2-A2-MAINTAIN-NORMAL-LINE,,8,1,maintain_current_centroid,qualitative,normal,auto,0.004784541859407909,13.500788637102232,1.5022519081830978,2.25,6.39824876437909,candidate.maintain_current_centroid,True,True,True,True
60,E5V2-B-S3-N8-R5,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
60,E5V2-B-S3-N8-R5,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
